year,bucket,h,basis_sales_ratio
1985,Under 18 months,1.25,0.7732875437706018
1985,18 months under 2 years,1.75,0.7504223847428892
1985,2 years under 3 years,2.5,0.7010957060422078
1985,3 years under 4 years,3.5,0.6317204781806902
1985,4 years under 5 years,4.5,0.6074740129316553
1985,5 years under 10 years,7.5,0.5339469698489665
1985,10 years under 15 years,12.5,0.39499792783265825
1985,15 years under 20 years,17.5,0.35997970946160146
1985,20 years or more,27.5,0.2797660639320697
1997,Under 18 months,1.25,0.7291503631120584
1997,18 months under 2 years,1.75,0.7025209778381869
1997,2 years under 3 years,2.5,0.6792307623277938
1997,3 years under 4 years,3.5,0.6588069357436163
1997,4 years under 5 years,4.5,0.653162381610254
1997,5 years under 10 years,7.5,0.6398137828134502
1997,10 years under 15 years,12.5,0.5496739287460062
1997,15 years under 20 years,17.5,0.46909704761138665
1997,20 years or more,27.5,0.4385849654668895
1998,Under 18 months,1.25,0.7664256560043061
1998,18 months under 2 years,1.75,0.704928404713746
1998,2 years under 3 years,2.5,0.6660025418515757
1998,3 years under 4 years,3.5,0.6664414760987712
1998,4 years under 5 years,4.5,0.6453351308630152
1998,5 years under 10 years,7.5,0.6102654623245708
1998,10 years under 15 years,12.5,0.45737880618849364
1998,15 years under 20 years,17.5,0.3537065819438461
1998,20 years or more,27.5,0.28636601643453113
1999,Under 18 months,1.25,0.6923856113797575
2000,Under 18 months,1.25,0.6090780831456842
2001,Under 18 months,1.25,0.7903169721865961
2002,Under 18 months,1.25,0.8189002650948356
2003,Under 18 months,1.25,0.8156615821344677
1999,18 months under 2 years,1.75,0.6739766969249852
2000,18 months under 2 years,1.75,0.5622421010427269
2001,18 months under 2 years,1.75,0.7745676094366667
2002,18 months under 2 years,1.75,0.7926052556644031
2003,18 months under 2 years,1.75,0.8167732396391397
1999,2 years under 3 years,2.5,0.6223705565473258
2000,2 years under 3 years,2.5,0.5843631384464184
2001,2 years under 3 years,2.5,0.7433000183310418
2002,2 years under 3 years,2.5,0.7986625270650632
2003,2 years under 3 years,2.5,0.7990090699608606
1999,3 years under 4 years,3.5,0.5662032235513277
2000,3 years under 4 years,3.5,0.506234681326376
2001,3 years under 4 years,3.5,0.7206356501272602
2002,3 years under 4 years,3.5,0.7624406579478329
2003,3 years under 4 years,3.5,0.7534284546513883
1999,4 years under 5 years,4.5,0.6085193642035397
2000,4 years under 5 years,4.5,0.5033232710358961
2001,4 years under 5 years,4.5,0.6922546515383492
2002,4 years under 5 years,4.5,0.699428807243795
2003,4 years under 5 years,4.5,0.6912182248022096
1999,5 years under 10 years,7.5,0.5854083479318524
2000,5 years under 10 years,7.5,0.5436904297035267
2001,5 years under 10 years,7.5,0.6068790995180349
2002,5 years under 10 years,7.5,0.6562744472596038
2003,5 years under 10 years,7.5,0.6543142774782831
1999,10 years under 15 years,12.5,0.4940689931092032
2000,10 years under 15 years,12.5,0.5064391209156361
2001,10 years under 15 years,12.5,0.5793525903637805
2002,10 years under 15 years,12.5,0.5666578919059982
2003,10 years under 15 years,12.5,0.5586495365279656
1999,15 years under 20 years,17.5,0.3679991726448361
2000,15 years under 20 years,17.5,0.36333786592225387
2001,15 years under 20 years,17.5,0.29562060431913834
2002,15 years under 20 years,17.5,0.3365855782102673
2003,15 years under 20 years,17.5,0.3924627613131126
1999,20 years or more,27.5,0.317792240089836
2000,20 years or more,27.5,0.26695410548024356
2001,20 years or more,27.5,0.2979302841759099
2002,20 years or more,27.5,0.2799387522561391
2003,20 years or more,27.5,0.2900008100514542
2004,Under 18 months,1.25,0.8076603344204515
2005,Under 18 months,1.25,0.8199467956442955
2006,Under 18 months,1.25,0.8088118055847628
2004,18 months under 2 years,1.75,0.764882512891151
2005,18 months under 2 years,1.75,0.7931313062999288
2006,18 months under 2 years,1.75,0.7888605271327415
2004,2 years under 3 years,2.5,0.7766757826441759
2005,2 years under 3 years,2.5,0.7078905470048632
2006,2 years under 3 years,2.5,0.7198228511815697
2004,3 years under 4 years,3.5,0.5517210529072586
2005,3 years under 4 years,3.5,0.7052546235184297
2006,3 years under 4 years,3.5,0.6834925433048
2004,4 years under 5 years,4.5,0.7062308071575306
2005,4 years under 5 years,4.5,0.29455286549893583
2006,4 years under 5 years,4.5,0.6720532739711148
2004,5 years under 10 years,7.5,0.5833822899850462
2005,5 years under 10 years,7.5,0.609668015201102
2006,5 years under 10 years,7.5,0.5326672137888724
2004,10 years under 15 years,12.5,0.5571373810749758
2005,10 years under 15 years,12.5,0.4435871229814566
2006,10 years under 15 years,12.5,0.4629611264829826
2004,15 years under 20 years,17.5,0.3422882375216726
2005,15 years under 20 years,17.5,0.3955189974593523
2006,15 years under 20 years,17.5,0.38724943975235476
2004,20 years or more,27.5,0.3574904392996397
2005,20 years or more,27.5,0.2663129805480729
2006,20 years or more,27.5,0.328316278357673
2007,Under 18 months,1.25,0.6737103529002584
2007,18 months under 2 years,1.75,0.7924908660393195
2007,2 years under 3 years,2.5,0.7446353924620214
2007,3 years under 4 years,3.5,0.7000286456204439
2007,4 years under 5 years,4.5,0.6601240586423126
2007,5 years under 10 years,7.5,0.5970899386799867
2007,10 years under 15 years,12.5,0.45473165561560164
2007,15 years under 20 years,17.5,0.41926871870253174
2007,20 years or more,27.5,0.2915103405224354
2008,Under 18 months,1.25,0.8605799198521424
2008,18 months under 2 years,1.75,0.8324606768415818
2008,2 years under 3 years,2.5,0.8481982040965529
2008,3 years under 4 years,3.5,0.7937020628377116
2008,4 years under 5 years,4.5,0.7360109191834687
2008,5 years under 10 years,7.5,0.6689732471126474
2008,10 years under 15 years,12.5,0.4646418371811453
2008,15 years under 20 years,17.5,0.38794031726330236
2008,20 years or more,27.5,0.2909269624130679
2009,Under 18 months,1.25,0.9206080661636881
2009,18 months under 2 years,1.75,0.9175809711625912
2009,2 years under 3 years,2.5,0.8873532630214533
2009,3 years under 4 years,3.5,0.8565204853468421
2009,4 years under 5 years,4.5,0.8264880109555448
2009,5 years under 10 years,7.5,0.7450158407532941
2009,10 years under 15 years,12.5,0.5634976141627338
2009,15 years under 20 years,17.5,0.43865453614340183
2009,20 years or more,27.5,0.3999244506721795
2010,Under 18 months,1.25,0.8547452008814128
2010,18 months under 2 years,1.75,0.8646312670526102
2010,2 years under 3 years,2.5,0.9299122826026078
2010,3 years under 4 years,3.5,0.8974848136738239
2010,4 years under 5 years,4.5,0.7900100738459251
2010,5 years under 10 years,7.5,0.8201774459124196
2010,10 years under 15 years,12.5,0.6510932336778896
2010,15 years under 20 years,17.5,0.5044169442105823
2010,20 years or more,27.5,0.35215432345105646
2011,Under 18 months,1.25,0.8722093832689111
2011,18 months under 2 years,1.75,0.8302923778271754
2011,2 years under 3 years,2.5,0.8292452713306883
2011,3 years under 4 years,3.5,0.8676504304138513
2011,4 years under 5 years,4.5,0.8363968487001232
2011,5 years under 10 years,7.5,0.820698635706075
2011,10 years under 15 years,12.5,0.6621683560626027
2011,15 years under 20 years,17.5,0.5117356938436874
2011,20 years or more,27.5,0.4196488938677744
2012,Under 18 months,1.25,0.856843149983207
2012,18 months under 2 years,1.75,0.8392096505436347
2012,2 years under 3 years,2.5,0.8121485031908933
2012,3 years under 4 years,3.5,0.7667201558077867
2012,4 years under 5 years,4.5,0.807195262211142
2012,5 years under 10 years,7.5,0.7876590869463825
2012,10 years under 15 years,12.5,0.5994483061353413
2012,15 years under 20 years,17.5,0.4657673564667751
2012,20 years or more,27.5,0.33980760976914914
2013,Under 18 months,1.25,0.8537494787252672
2013,18 months under 2 years,1.75,0.8415438504106378
2013,2 years under 3 years,2.5,0.8339466776190562
2013,3 years under 4 years,3.5,0.8493953418962684
2013,4 years under 5 years,4.5,0.7799110665798948
2013,5 years under 10 years,7.5,0.8310613732464082
2013,10 years under 15 years,12.5,0.6666410194372563
2013,15 years under 20 years,17.5,0.5299186189993259
2013,20 years or more,27.5,0.3904695646228274
2014,Under 18 months,1.25,0.8394571369250559
2014,18 months under 2 years,1.75,0.7940856438094125
2014,2 years under 3 years,2.5,0.7912256485446525
2014,3 years under 4 years,3.5,0.8002617286701119
2014,4 years under 5 years,4.5,0.7610812404811409
2014,5 years under 10 years,7.5,0.7437552276237259
2014,10 years under 15 years,12.5,0.6440696881775693
2014,15 years under 20 years,17.5,0.5110418551745131
2014,20 years or more,27.5,0.3753286843587978
2015,Under 18 months,1.25,0.8515190998443432
2015,18 months under 2 years,1.75,0.8130954843294774
2015,2 years under 3 years,2.5,0.7803245477910311
2015,3 years under 4 years,3.5,0.7601142547319264
2015,4 years under 5 years,4.5,0.7675549535107475
2015,5 years under 10 years,7.5,0.745995097245444
2015,10 years under 15 years,12.5,0.604306761843516
2015,15 years under 20 years,17.5,0.509454160860387
2015,20 years or more,27.5,0.4576911983373995
