year,wagepercentilelower,share_female_wages_0th_instant,share_female_wages_0th_5th,share_female_wages_5th_25th,share_female_wages_25th_50th,share_female_wages_50th_75th,share_female_wages_75th_99_99th,share_female_wages_99_99th_100th
2014,0,.4348,.0151,.0371,.0438,.0327,.1518,.2847
2014,.1,.4105,.0271,.0705,.0772,.0549,.0644,.2954
2014,.2,.3926,.0347,.0936,.1239,.0786,.0632,.2134
2014,.3,.3461,.0351,.1205,.18,.1086,.0607,.1491
2014,.4,.2701,.0374,.1431,.2616,.1299,.0528,.1052
2014,.5,.2379,.0332,.1425,.3128,.1643,.0436,.0659
2014,.6,.2078,.0386,.1498,.3454,.1745,.037,.047
2014,.7,.1898,.0349,.1474,.3687,.1896,.0336,.036
2014,.8,.1836,.0445,.1495,.378,.1855,.0302,.0287
2014,.9,.2254,.051,.1654,.3259,.1757,.0329,.0236
2014,.95,.3195,.0776,.1868,.2128,.1289,.0463,.0282
2014,.99,.4953,.124,.1478,.083,.0641,.0547,.0312
2014,.999,.6887,.1494,.0524,.0191,.0138,.0453,.0313
2014,.9999,.7877999999999999,.1325,.0139,.0047,.0043,.0307,.0262
2013,0,.4622,.0153,.0306,.0398,.0298,.1446,.2777
2013,.1,.3928,.0274,.0745,.0825,.0643,.0609,.2976
2013,.2,.3857,.0348,.0899,.1172,.0841,.0669,.2214
2013,.3,.3528,.0401,.1145,.1743,.1039,.0545,.16
2013,.4,.272,.0377,.1397,.2642,.1258,.0569,.1037
2013,.5,.2347,.04,.1403,.3105,.1641,.0428,.0677
2013,.6,.2113,.0408,.1401,.3489,.1747,.0375,.0466
2013,.7,.1889,.0405,.1465,.3628,.1945,.0337,.0332
2013,.8,.1828,.0428,.1546,.3783,.1805,.0338,.0273
2013,.9,.2196,.049,.1669,.3269,.1813,.0323,.024
2013,.95,.317,.0781,.1928,.2108,.1243,.0487,.0284
2013,.99,.4853,.1259,.1529,.0909,.0577,.0539,.0332
2013,.999,.6674,.1535,.0627,.0188,.0136,.0486,.0353
2013,.9999,.7896,.1363,.013,.0062,.0056,.0295,.0198
2012,0,.4656,.0134,.0284,.0415,.0313,.1543,.2656
2012,.1,.3888,.0279,.0729,.0786,.0613,.0745,.296
2012,.2,.3749,.0356,.0899,.1285,.0857,.069,.2165
2012,.3,.3347,.0425,.1095,.1821,.1016,.063,.1665
2012,.4,.2646,.0418,.1405,.2643,.1291,.0552,.1044
2012,.5,.2349,.0382,.148,.315,.1451,.0444,.0744
2012,.6,.2011,.0354,.1529,.3368,.1889,.0348,.0502
2012,.7,.1843,.0404,.1442,.375,.1852,.0352,.0357
2012,.8,.1885,.0446,.1502,.371,.1832,.0354,.0272
2012,.9,.2129,.0501,.1763,.3268,.1802,.0312,.0225
2012,.95,.3212,.0794,.182,.2148,.1245,.0502,.0279
2012,.99,.4987,.1351,.1467,.0806,.0564,.0544,.028
2012,.999,.6848,.1612,.0522,.0185,.0113,.0426,.0294
2012,.9999,.784,.1456,.0123,.0061,.0036,.0274,.0211
2011,0,.4659,.0159,.0294,.0388,.0305,.1625,.2571
2011,.1,.3839,.0265,.069,.0809,.0603,.0701,.3093
2011,.2,.3839,.0318,.0885,.1195,.0787,.0676,.2301
2011,.3,.33,.0388,.115,.1823,.1104,.0609,.1626
2011,.4,.2795,.0412,.1362,.2405,.1313,.0622,.1092
2011,.5,.2221,.039,.1441,.3128,.1615,.0499,.0707
2011,.6,.1957,.0419,.1523,.3457,.1779,.0366,.0499
2011,.7,.1837,.0407,.1438,.3799,.1876,.0312,.0331
2011,.8,.1795,.0425,.1565,.3696,.1894,.0328,.0296
2011,.9,.2134,.0551,.1713,.3273,.178,.0327,.0223
2011,.95,.3137,.0821,.1783,.2244,.1303,.0442,.027
2011,.99,.5072,.1295,.1427,.0898,.0545,.0502,.0261
2011,.999,.6874,.1494,.0587,.023,.0142,.0403,.027
2011,.9999,.7783,.1385,.0149,.0076,.0065,.0309,.0232
2010,0,.4675,.0104,.031,.0423,.0363,.1585,.254
2010,.1,.3988,.0263,.0601,.0743,.059,.0722,.3092
2010,.2,.3728,.0371,.0844,.1089,.0821,.0686,.2463
2010,.3,.3212,.0442,.1191,.1682,.1131,.0739,.1603
2010,.4,.2806,.0408,.1438,.2344,.1267,.058,.1156
2010,.5,.222,.0454,.1521,.2995,.1549,.0512,.0749
2010,.6,.1874,.0408,.1493,.3545,.1805,.0372,.0504
2010,.7,.1727,.0445,.1488,.3739,.1912,.0351,.0339
2010,.8,.1726,.0442,.1568,.3784,.192,.0302,.0258
2010,.9,.1938,.0531,.163,.3594,.1788,.0303,.0216
2010,.95,.3033,.08,.1798,.2326,.1348,.0414,.0281
2010,.99,.5018,.1257,.1478,.0913,.0596,.0463,.0276
2010,.999,.6797,.1527,.059,.025,.0134,.0423,.0278
2010,.9999,.8037,.125,.0161,.009,.006,.0215,.0188
2009,0,.4715,.016,.0296,.0419,.0328,.1543,.2539
2009,.1,.4006,.0281,.0661,.0805,.0649,.0711,.2887
2009,.2,.3635,.0327,.0951,.1174,.0837,.0766,.2309
2009,.3,.3119,.0379,.1264,.1723,.1202,.0716,.1596
2009,.4,.2642,.0416,.1426,.2451,.1398,.063,.1038
2009,.5,.2192,.0394,.1543,.3186,.1494,.0496,.0695
2009,.6,.1895,.0435,.1569,.3471,.1764,.0416,.045
2009,.7,.1734,.0435,.1424,.3796,.195,.0315,.0346
2009,.8,.169,.0434,.1558,.39,.1897,.0279,.0242
2009,.9,.1925,.0524,.163,.3476,.19,.0325,.0219
2009,.95,.3017,.075,.1813,.2401,.1364,.04,.0255
2009,.99,.4932,.1294,.1529,.0983,.0597,.0437,.0227
2009,.999,.6716,.1538,.0707,.028,.0148,.0377,.0234
2009,.9999,.7938,.1374,.0192,.0087,.007,.021,.0129
2008,0,.463,.0149,.0342,.0471,.0325,.1553,.2531
2008,.1,.3911,.03,.072,.0821,.0624,.0743,.2882
2008,.2,.3632,.0439,.1094,.127,.0892,.0643,.2032
2008,.3,.2979,.0514,.1308,.2031,.1142,.0616,.141
2008,.4,.2591,.045,.1468,.271,.1353,.0506,.0921
2008,.5,.2081,.0436,.1539,.3347,.1563,.0442,.0591
2008,.6,.1809,.0383,.151,.3818,.1748,.0342,.0389
2008,.7,.1667,.0434,.1599,.3898,.1868,.0274,.026
2008,.8,.1652,.0432,.1585,.4041,.1848,.0247,.0195
2008,.9,.1843,.0585,.1811,.3434,.1854,.0265,.0207
2008,.95,.3091,.0863,.1981,.2191,.1257,.0393,.0223
2008,.99,.5145,.1424,.1369,.0878,.05,.0435,.0249
2008,.999,.6764,.1714,.0516,.0273,.0131,.0361,.024
2008,.9999,.8001,.1339,.0156,.0066,.0044,.0235,.016
2007,0,.4641,.0131,.0316,.042,.0351,.1606,.2534
2007,.1,.3787,.0346,.0756,.08,.06,.0794,.2917
2007,.2,.3669,.0424,.1011,.126,.0897,.0669,.2069
2007,.3,.3181,.0443,.1359,.1908,.1093,.0634,.1382
2007,.4,.2488,.0485,.1475,.2855,.1316,.051,.0871
2007,.5,.2038,.0421,.1574,.343,.1554,.0403,.058
2007,.6,.1864,.0385,.1587,.3724,.1745,.0323,.0372
2007,.7,.1669,.0421,.1551,.4031,.18,.0268,.026
2007,.8,.1611,.0477,.1656,.3957,.1844,.0268,.0187
2007,.9,.1887,.0559,.1715,.349,.1871,.0285,.0193
2007,.95,.3077,.0898,.2036,.2131,.1243,.0379,.0235
2007,.99,.5061,.145,.1461,.0841,.0456,.0495,.0236
2007,.999,.6932,.1649,.048,.0211,.0105,.0403,.0221
2007,.9999,.7996,.1316,.0138,.0082,.005,.0233,.0184
2006,0,.459,.0143,.0383,.0429,.0343,.1648,.2464
2006,.1,.3868,.0384,.075,.0781,.0625,.0768,.2824
2006,.2,.3684,.0384,.1043,.1352,.0838,.0648,.2051
2006,.3,.3104,.0476,.144,.196,.1144,.0584,.1293
2006,.4,.2494,.054,.1572,.2847,.1208,.0511,.0828
2006,.5,.2036,.0466,.1595,.3458,.1523,.0394,.0528
2006,.6,.1747,.0414,.1511,.3843,.178,.0335,.0369
2006,.7,.1648,.0381,.159,.4065,.1851,.0232,.0233
2006,.8,.1625,.0451,.1745,.3931,.1825,.0236,.0186
2006,.9,.1902,.0648,.1727,.344,.1794,.029,.0198
2006,.95,.3076,.0896,.1979,.2199,.1259,.0363,.0228
2006,.99,.5114,.1466,.1424,.0814,.051,.0484,.0187
2006,.999,.6915,.1635,.0488,.0246,.0118,.0382,.0216
2006,.9999,.8144,.127,.0128,.0064,.0042,.0186,.0166
2005,0,.457,.0149,.0332,.0425,.035,.1724,.2449
2005,.1,.3741,.0345,.0773,.0857,.063,.0787,.2867
2005,.2,.3691,.0467,.1012,.1327,.0843,.0629,.2031
2005,.3,.3236,.044,.1283,.2032,.1084,.0602,.1323
2005,.4,.2534,.0444,.1598,.2826,.1272,.0512,.0813
2005,.5,.2074,.0463,.1597,.3391,.156,.0365,.055
2005,.6,.1877,.0371,.1598,.3725,.1745,.0306,.0379
2005,.7,.1669,.0401,.1527,.4103,.1778,.0262,.026
2005,.8,.1556,.0444,.1719,.3947,.1913,.0231,.0189
2005,.9,.1935,.0544,.1776,.3563,.1762,.0261,.0158
2005,.95,.3078,.0876,.1945,.2248,.1254,.0367,.0234
2005,.99,.5154,.1446,.1426,.085,.0464,.0443,.0215
2005,.999,.6972,.1597,.0502,.0222,.014,.0359,.0207
2005,.9999,.8001,.1345,.0172,.008,.004,.0236,.0125
2004,0,.4521,.0162,.033,.0451,.0383,.1714,.2438
2004,.1,.3866,.033,.0781,.0853,.0662,.0893,.2616
2004,.2,.3623,.0482,.1093,.1204,.0863,.0663,.2071
2004,.3,.3165,.0503,.1364,.197,.1023,.0611,.1363
2004,.4,.2614,.0488,.1483,.2758,.1338,.0544,.0774
2004,.5,.2159,.0466,.166,.3324,.1498,.0374,.0519
2004,.6,.1809,.0452,.1505,.3917,.164,.0331,.0345
2004,.7,.171,.0409,.1478,.4147,.1748,.0281,.0226
2004,.8,.1679,.0417,.1683,.3981,.1792,.0251,.0197
2004,.9,.1837,.0557,.1637,.3787,.1773,.0228,.018
2004,.95,.3128,.0877,.188,.2345,.1212,.0374,.0184
2004,.99,.5191,.1413,.1438,.0859,.046,.0406,.0232
2004,.999,.6858,.1633,.056,.0235,.0116,.0385,.0212
2004,.9999,.7973,.1346,.0146,.009,.0036,.0221,.0187
2003,0,.4698,.0129,.0308,.0485,.0346,.1697,.2338
2003,.1,.3799,.0353,.0773,.0808,.0635,.0814,.2819
2003,.2,.3563,.0541,.1067,.1351,.0838,.0745,.1894
2003,.3,.3168,.0481,.1391,.2028,.1007,.0637,.1288
2003,.4,.2597,.0472,.1528,.2782,.1352,.0485,.0784
2003,.5,.2287,.0455,.1564,.3283,.1507,.0355,.0548
2003,.6,.1771,.039,.1571,.3867,.1691,.0344,.0367
2003,.7,.1723,.0373,.1467,.4082,.1799,.0277,.0278
2003,.8,.1776,.0403,.1642,.3948,.1806,.0235,.019
2003,.9,.2053,.0495,.1654,.381,.1598,.0229,.0161
2003,.95,.3017,.086,.1871,.2397,.1288,.0369,.0197
2003,.99,.5107,.1287,.1602,.0954,.0481,.0368,.0202
2003,.999,.6758,.161,.0618,.0239,.0142,.0401,.0232
2003,.9999,.7975,.1402,.0146,.01,.0032,.0207,.0137
2002,0,.4678,.0125,.0402,.047,.0357,.1715,.2254
2002,.1,.3792,.0299,.0846,.0845,.0694,.0793,.273
2002,.2,.3431,.0519,.1131,.1362,.0896,.0712,.195
2002,.3,.3085,.0521,.1403,.2106,.1183,.0576,.1126
2002,.4,.2591,.0475,.1529,.2932,.1295,.0474,.0703
2002,.5,.2256,.0458,.1587,.3436,.1426,.0354,.0484
2002,.6,.1761,.0472,.1668,.3873,.1642,.0285,.0299
2002,.7,.1592,.0374,.1532,.4111,.1823,.0294,.0275
2002,.8,.1678,.0467,.1636,.3982,.1894,.0161,.0181
2002,.9,.184,.0539,.1644,.3995,.1575,.0258,.0148
2002,.95,.3201,.0874,.1892,.2358,.1139,.0371,.0164
2002,.99,.5066000000000001,.1396,.1626,.0876,.0497,.035,.0188
2002,.999,.6694,.161,.0689,.0295,.013,.038,.0202
2002,.9999,.7844,.1405,.0201,.0128,.0043,.0197,.0181
2001,0,.4516,.015,.0458,.044,.0387,.1739,.2309
2001,.1,.3594,.0337,.0888,.0912,.0659,.0855,.2755
2001,.2,.3485,.0567,.117,.1425,.0932,.0679,.1742
2001,.3,.287,.058,.1448,.2393,.1064,.058,.1066
2001,.4,.2597,.0481,.1553,.3046,.123,.0442,.0651
2001,.5,.2147,.0443,.1668,.3602,.1432,.0278,.043
2001,.6,.1743,.0368,.1675,.3989,.1687,.0244,.0294
2001,.7,.1606,.0466,.1658,.4207,.1596,.0263,.0205
2001,.8,.1657,.0466,.1633,.4175,.17,.0223,.0146
2001,.9,.1852,.0517,.181,.3857,.1629,.0193,.0142
2001,.95,.3262,.0993,.196,.2169,.1141,.0323,.0152
2001,.99,.5032,.1448,.1566,.0854,.0486,.042,.0193
2001,.999,.6781,.1681,.0621,.0218,.0142,.0372,.0186
2001,.9999,.7885,.1419,.0221,.0126,.0043,.0204,.0103
2000,0,.4611,.0161,.0404,.0434,.0352,.1676,.2362
2000,.1,.3711,.0402,.0829,.0878,.0622,.0854,.2704
2000,.2,.3239,.0603,.1287,.1638,.0926,.0651,.1656
2000,.3,.301,.0544,.1519,.2332,.1062,.049,.1043
2000,.4,.2538,.0579,.159,.302,.1306,.0367,.06
2000,.5,.2142,.0343,.1785,.3702,.1399,.0217,.0412
2000,.6,.1813,.0426,.1693,.403,.1544,.0223,.0272
2000,.7,.1706,.0405,.1692,.4226,.164,.0166,.0166
2000,.8,.1563,.0529,.1721,.4217,.1676,.0188,.0107
2000,.9,.2036,.0535,.191,.3752,.142,.0196,.015
2000,.95,.3323,.0992,.2212,.1973,.1057,.0328,.0116
2000,.99,.5042,.1706,.1563,.07,.0368,.0458,.0162
2000,.999,.661,.1918,.0481,.0203,.0137,.0472,.0178
2000,.9999,.7837,.1602,.0201,.0137,.0063,.0116,.0044
1999,0,.4824,.0148,.0379,.04,.0323,.1805,.2121
1999,.1,.3676,.0466,.0955,.0909,.0651,.0798,.2544
1999,.2,.3332,.0507,.1297,.1638,.0864,.068,.1683
1999,.3,.3087,.0552,.1577,.2344,.0955,.0509,.0976
1999,.4,.2466,.0515,.1612,.3211,.1307,.0308,.0582
1999,.5,.2073,.0491,.19,.3582,.1262,.026,.0433
1999,.6,.2009,.0398,.1611,.4008,.1543,.0213,.0218
1999,.7,.1856,.0406,.1752,.4129,.1522,.0154,.0182
1999,.8,.1789,.0385,.1646,.4141,.1752,.017,.0117
1999,.9,.2045,.0637,.1876,.3883,.1262,.0173,.0124
1999,.95,.3475,.0972,.2139,.2051,.0981,.0296,.0087
1999,.99,.5243,.1589,.1553,.0708,.0391,.0388,.0128
1999,.999,.6657,.1848,.0575,.0197,.0146,.0419,.0159
1999,.9999,.7651,.164,.021,.0126,.0089,.0201,.0084
